index      7600    2    2    0    0    0
index      7700    2    2    0    0    0
index      7800    2    2    0    0    0
index      7900    2    2    0    0    0
index      8000    2    2    0    0    0
index      8100    2    2    0    0    0
index      8200    2    2    0    0    0
index      8300    2    2    0    0    0
index      8400    2    2    0    0    0
index      8500    2    2    0    0    0
index      8600    2    2    0    0    0
index      8700    2    2    0    0    0
index      8800    2    2    0    0    0
index      8900    2    2    0    0    0
index      9000    2    2    0    0    0
index      9100    2    2    0    0    0
index      9200    2    2    0    0    0
index      9300    2    2    0    0    0
index      9400    2    2    0    0    0
index      9500    2    2    0    0    0
index      9600    2    2    0    0    0
index      9700    2    2    0    0    0
index      9800    2    2    0    0    0
index      9900    2    2    0    0    0
index     10000    2    2    0    0    0
index     10100    2    2    0    0    0
index     10200    2    2    0    0    0
index     10300    2    2    0    0    0
index     10400    2    2    0    0    0
index     10500    2    2    0    0    0
index     10600    2    2    0    0    0
index     10700    2    2    0    0    0
index     10800    2    2    0    0    0
index     10900    2    2    0    0    0
index     11000    2    2    0    0    0
index     11100    2    2    0    0    0
index     11200    2    2    0    0    0
index     11300    2    2    0    0    0
index     11400    2    2    0    0    0
index     11500    2    2    0    0    0
index     11600    2    2    0    0    0
index     11700    2    2    0    0    0
index     11800    2    2    0    0    0
index     11900    2    2    0    0    0
index     12000    2    2    0    0    0
index     12100    2    2    0    0    0
index     12200    2    2    0    0    0
index     12300    2    2    0    0    0
index     12400    2    2    0    0    0
index     12500    2    2    0    0    0
index     12600    2    2    0    0    0
index     12700    2    2    0    0    0
index     12800    2    2    0    0    0
index     12900    2    2    0    0    0
index     13000    2    2    0    0    0
index     13100    2    2    0    0    0
index     13200    2    2    0    0    0
index     13300    2    2    0    0    0
index     13400    2    2    0    0    0
index     13500    2    2    0    0    0
index     13600    2    2    0    0    0
index     13700    2    2    0    0    0
index     13800    2    2    0    0    0
index     13900    2    2    0    0    0
index     14000    2    2    0    0    0
index     14100    2    2    0    0    0
index     14200    2    2    0    0    0
index     14300    2    2    0    0    0
index     14400    2    2    0    0    0
index     14500    2    2    0    0    0
index     14600    2    2    0    0    0
index     14700    2    2    0    0    0
index     14800    2    2    0    0    0
index     14900    2    2    0    0    0
index     15000    2    2    0    0    0
index     15100    2    2    0    0    0
index     15200    2    2    0    0    0
index     15300    2    2    0    0    0
index     15400    2    2    0    0    0
index     15500    2    2    0    0    0
index     15600    2    2    0    0    0
index     15700    3    3    0    0    0
index     15800    3    3    0    0    0
index     15900    3    3    0    0    0
index     16000    3    3    0    0    0
index     16100    3    3    0    0    0
index     16200    3    3    0    0    0
index     16300    3    3    0    0    0
index     16400    3    3    0    0    0
index     16500    3    3    0    0    0
index     16600    3    3    0    0    0
index     16700    3    3    0    0    0
index     16800    3    3    0    0    0
index     16900    3    3    0    0    0
index     17000    3    3    0    0    0
index     17100    3    3    0    0    0
index     17200    3    3    0    0    0
index     17300    3    3    0    0    0
index     17400    3    3    0    0    0
index     17500    3    3    0    0    0
index     17600    3    3    0    0    0
index     17700    3    3    0    0    0
index     17800    3    3    0    0    0
index     17900    3    3    0    0    0
index     18000    3    3    0    0    0
index     18100    3    3    0    0    0
